,,"Name (click to view profile)","Profile ID",Date,Likes,"Live video timestamp",Comment,"Image URLs","Author Avatar","Comment Edited","Comment URL"
91,,"Netflix Family",100066900986005,"2024-11-27 16:00:01",0,-,"TOMORROW! Your favorite all-stars from Is It Cake? return to craft tasty Holiday inspired hyper realistic cakes!",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
92,,"Netflix Family",100066900986005,"2024-11-27 20:00:45",0,-,"Want to stay humble? Hang out with a brutally honest kid. This is Us is now streaming on Netflix.",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
93,,"Netflix Family",100066900986005,"2024-11-28 15:01:47",0,-,"Happy Thanksgiving, from our family to yours :)",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
94,,"Netflix Family",100066900986005,"2024-11-28 17:00:51",0,-,"Your favorite all-stars return to craft tasty Holiday inspired hyper realistic cakes! IS IT CAKE? HOLIDAY is now playing! 🎄",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
95,,"Netflix Family",100066900986005,"2024-11-28 18:31:27",0,-,"teens during thanksgiving 🥪 A Man on the Inside is now playing on Netflix.",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
96,,"Netflix Family",100066900986005,"2024-11-28 20:17:44",0,-,"dessert at my house",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
97,,"Netflix Family",100066900986005,"2024-11-29 14:01:16",0,-,"Say yes to forever. Virgin River returns on DECEMBER 19!",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
98,,"Netflix Family",100066900986005,"2024-11-29 15:00:05",0,-,"It’s the most wonderful time of the year!🎥: The Christmas Chronicles",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
99,,"Netflix Family",100066900986005,"2024-11-29 17:00:51",0,-,"When you get Santa (and a few very awesome friends) to join your THIS OR THAT game... looks like we’ve officially kicked off the Holiday Season! 🎅🍪🥛✨🛷🎄",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
100,,"Netflix Family",100066900986005,"2024-11-30 18:00:33",0,-,"Just looked over at my husband and sighed… Our Oceans is now playing on Netflix.",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
101,,"Netflix Family",100066900986005,"2024-12-01 15:01:33",0,-,"Brian Cox is coming to town! Enjoy this exclusive scene from That Christmas. Arriving this Wednesday, December 4 only on Netflix!",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
102,,"Netflix Family",100066900986005,"2024-12-01 17:30:25",0,-,"Count down to Christmas with a daily dose of festive cheer and unwrap your Holiday Family Movie Night every night, with this DIY Surprise Calendar! 📆🎄",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
